Onkesh,Male,08/08/1990,onkesh@gmail.com,25/07/2017,3455935689,IT,4
Emily,Female,21/05/1990,virgina20@gmail.com,01/08/2017,3434890784,ECE,4
Deepak,Male,28/11/2000,deepak90@gmail.com,20/07/2019,3415896145,IT,2
Ryan,Male,02/07/2002,ryanjoy@gmail.com,14/07/2019,3455891256,CSE,2
Jessica,Female,31/12/2001,cutejessu@gmail.com,15/07/2019,3455779915,IT,2
Daniel,Male,15/06/2002,daniweb31@gmail.com,31/07/2020,3456789412,IT,1
Priyansh,Male,09/11/1999,priyanshkumar@gmail.com,25/07/2018,4333784589,ECE,3
Mary,Female,21/09/1991,mary56@gmail.com,20/07/2017,3489756423,IT,4
Ankita,Female,26/04/1994,ankita94@gmail.com,12/07/2017,3455889912,CSE,2
Mark,Male,29/02/1996,mark2@gmail.com,03/07/2017,3412597622,CSE,4
Kevin,Male,22/03/2000,kevin23@gmail.com,17/07/2018,3455168976,CSE,3
Carol,Female,28/11/1998,kerollove@gmail.com,29/07/2019,3459785135,CSE,2
Anjlina,Female,20/05/2002,anjlina.babe@gmail.com,20/07/2019,3455892390,ECE,2
Emily,Female,24/11/1999,loveemily@gmail.com,16/07/2018,3488564126,CSE,3
Joe,Male,26/06/1990,joelove@gmail.com,07/07/2020,3490708920,ECE,1
Shraddhanjali,Female,31/10/2001,shanjali34@gmail.com,05/07/2020,3455895626,CSE,1
Abhinav,Male,02/01/2001,abhinavkumar@gmail.com,29/07/2020,3455679648,CSE,1
Rakesh,Male,02/11/2010,rakesh34@gmail.com,28/07/2017,3455985623,ECE,4
Susan,Female,25/04/1999,susan89@gmail.com,02/07/2018,3486447799,IT,3
Laha,Female,25/05/2005,gorgeouslaha@gmail.com,17/07/2020,3456907889,ECE,1
Lisa,Female,19/05/2001,imlisa@gmail.com,18/07/2020,3412568783,IT,1
Christina Lauren,Female,31/12/2001,christicute@gmail.com,29/07/2018,3412080078,ECE,3
Bobby,Male,17/08/1999,bobbybaby@gmail.com,21/07/2019,3422670089,ECE,2
Ankit,Male,29/02/1998,ankit56@gmail.com,25/07/2018,3445896523,IT,3
